SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
ExteriorFeatures,,"Exterior Features",R1307,"Exterior Features",1000,Character,,1,LookupMulti,Left,0,,ExteriorFeatures,100,,,,,,0,,0,,,,,
Flooring,,Flooring,R1309,Flooring,1000,Character,,1,LookupMulti,Left,0,,Flooring,100,,,,,,0,,0,,,,,
FloorPlanType,,"Floor Plan Type",R1310,"Floor Plan Type",1000,Character,,1,LookupMulti,Left,0,,FloorPlan,100,,,,,,0,,0,,,,,
ForeclosedREOYN,,"Foreclosed REOYN",R1311,"Foreclosed REOYN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ForSaleYN,,"For Sale YN",R1312,"For Sale YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
FullAddress,,"Full Address",R1313,"Full Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
FurnishedDesc,,"Furnished Desc",R1314,"Furnished Desc",1000,Character,,1,LookupMulti,Left,0,,FurnishedDesc,100,,,,,,0,,0,,,,,
GarageDesc,,"Garage Desc",R1315,"Garage Desc",75,Character,,1,Lookup,Left,0,,GarageDesc,1,,,,,,0,,0,,,,,
GarageSpaces,,"Garage Spaces",R1316,"Garage Spaces",11,Decimal,2,1,Number,Right,0,,,,,,-9999999,9999999,,0,,0,,,,,
GasDescription,,"Gas Description",R4174,"Gas Description",1000,Character,,1,LookupMulti,Left,0,,GasDescription,100,,,,,,0,,0,,,,,
GolfType,,"Golf Type",R2681,"Golf Type",1000,Character,,1,LookupMulti,Left,0,,GolfType,100,,,,,,0,,0,,,,,
GoMLSPrice,,"Go MLS Price",R2609,"Go MLS Price",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
GoMLSPriceType,,"Go MLS Price Type",R2610,"Go MLS Price Type",75,Character,,1,Lookup,Left,0,,GoMLSPriceType,1,,,,,,0,,0,,,,,
GulfAccessType,,"Gulf Access Type",R1317,"Gulf Access Type",1000,Character,,1,LookupMulti,Left,0,,GulfAccessType,100,,,,,,0,,0,,,,,
GulfAccessYN,,"Gulf Access YN",R1318,"Gulf Access YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Heat,,Heat,R1319,Heat,1000,Character,,1,LookupMulti,Left,0,,Heat,100,,,,,,0,,0,,,,,
HighSchool,,"High School",R1320,"High School",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
InteriorFeatures,,"Interior Features",R1323,"Interior Features",1000,Character,,1,LookupMulti,Left,0,,InteriorFeatures,100,,,,,,0,,0,,,,,
